date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/25/2025,ARKW,TESLA INC,TSLA,88160R101,"522,477","$218,280,441.06",10.45%
11/25/2025,ARKW,ADVANCED MICRO DEVICES,AMD,007903107,"598,594","$128,727,639.70",6.16%
11/25/2025,ARKW,ARK BITCOIN ETF HOLDCO (ARKW),,MM0051EWE,"4,051,618","$119,887,376.62",5.74%
11/25/2025,ARKW,ROKU INC,ROKU,77543R102,"1,206,943","$112,945,725.94",5.41%
11/25/2025,ARKW,SHOPIFY INC - CLASS A,SHOP,82509L107,"685,863","$106,521,382.53",5.10%
11/25/2025,ARKW,COINBASE GLOBAL INC -CLASS A,COIN,19260Q107,"390,547","$99,968,315.59",4.78%
11/25/2025,ARKW,ROBINHOOD MARKETS INC - A,HOOD,770700102,"804,405","$92,482,442.85",4.43%
11/25/2025,ARKW,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"539,956","$87,607,861.00",4.19%
11/25/2025,ARKW,ROBLOX CORP -CLASS A,RBLX,771049103,"762,684","$69,083,916.72",3.31%
11/25/2025,ARKW,CIRCLE INTERNET GROUP INC,CRCL,172573107,"784,752","$57,082,860.48",2.73%
11/25/2025,ARKW,ALPHABET INC-CL C,GOOG,02079K107,"172,045","$54,791,171.15",2.62%
11/25/2025,ARKW,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"188,388","$53,622,760.32",2.57%
11/25/2025,ARKW,META PLATFORMS INC-CLASS A,META,30303M102,"82,652","$50,669,808.60",2.43%
11/25/2025,ARKW,BITMINE IMMERSION TECHNOLOGI,BMNR,09175A206,"1,605,068","$49,917,614.80",2.39%
11/25/2025,ARKW,BLOCK INC,XYZ,852234103,"763,133","$47,207,407.38",2.26%
11/25/2025,ARKW,CROWDSTRIKE HOLDINGS INC - A,CRWD,22788C105,"85,990","$43,581,451.80",2.09%
11/25/2025,ARKW,AMAZON.COM INC,AMZN,023135106,"170,515","$38,584,134.20",1.85%
11/25/2025,ARKW,CLOUDFLARE INC - CLASS A,NET,18915M107,"188,035","$36,476,909.65",1.75%
11/25/2025,ARKW,COREWEAVE INC-CL A,CRWV,21873S108,"485,757","$35,751,715.20",1.71%
11/25/2025,ARKW,UNITY SOFTWARE INC,U,91332U101,"812,249","$33,781,435.91",1.62%
11/25/2025,ARKW,GITLAB INC-CL A,GTLB,37637K108,"787,101","$32,625,336.45",1.56%
11/25/2025,ARKW,BULLISH,BLSH,G16910120,"769,953","$31,953,049.50",1.53%
11/25/2025,ARKW,DRAFTKINGS INC-CL A,DKNG UW,26142V105,"1,012,072","$29,795,399.68",1.43%
11/25/2025,ARKW,DATADOG INC - CLASS A,DDOG,23804L103,"185,130","$29,331,997.20",1.40%
11/25/2025,ARKW,NVIDIA CORP,NVDA,67066G104,"157,024","$28,664,731.20",1.37%
11/25/2025,ARKW,RUBRIK INC-A,RBRK,781154109,"358,065","$24,130,000.35",1.15%
11/25/2025,ARKW,BAIDU INC - SPON ADR,BIDU,056752108,"199,290","$23,757,360.90",1.14%
11/25/2025,ARKW,PINTEREST INC- CLASS A,PINS,72352L106,"939,054","$23,279,148.66",1.11%
11/25/2025,ARKW,PURE STORAGE INC - CLASS A,PSTG,74624M102,"280,102","$23,004,777.26",1.10%
11/25/2025,ARKW,AIRBNB INC-CLASS A,ABNB,009066101,"197,996","$22,652,722.36",1.08%
11/25/2025,ARKW,SPOTIFY TECHNOLOGY SA,SPOT,L8681T102,"38,136","$22,308,797.28",1.07%
11/25/2025,ARKW,DOORDASH INC - A,DASH,25809K105,"116,901","$21,986,740.08",1.05%
11/25/2025,ARKW,GENIUS SPORTS LTD,GENI,G3934V109,"2,379,851","$21,751,838.14",1.04%
11/25/2025,ARKW,MERCADOLIBRE INC,MELI,58733R102,"10,634","$21,362,855.28",1.02%
11/25/2025,ARKW,TRADE DESK INC/THE -CLASS A,TTD,88339J105,"527,158","$20,590,791.48",0.99%
11/25/2025,ARKW,TOAST INC-CLASS A,TOST,888787108,"617,506","$20,674,100.88",0.99%
11/25/2025,ARKW,PAGERDUTY INC,PD,69553P100,"1,379,649","$20,501,584.14",0.98%
11/25/2025,ARKW,QUALCOMM INC,QCOM,747525103,"121,226","$20,009,563.56",0.96%
11/25/2025,ARKW,FIGMA INC-CL A,,316841105,"506,051","$17,949,628.97",0.86%
11/25/2025,ARKW,ALIBABA GROUP HOLDING-SP ADR,BABA,01609W102,"111,307","$17,890,374.11",0.86%
11/25/2025,ARKW,NETFLIX INC,NFLX,64110L106,"166,320","$17,791,250.40",0.85%
11/25/2025,ARKW,NEXTDOOR HOLDINGS INC,NXDR,65345M108,"7,806,119","$13,426,524.68",0.64%
11/25/2025,ARKW,3IQ ETHER STAKING ETF,ETHQ/U,BQ84B35,"961,036","$11,138,407.24",0.53%
11/25/2025,ARKW,SALESFORCE INC,CRM,79466L302,"44,614","$10,119,347.48",0.48%
11/25/2025,ARKW,IBOTTA INC-CL A,IBTA,451051106,"369,426","$8,230,811.28",0.39%
11/25/2025,ARKW,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"6,720,241","$6,720,240.71",0.32%
11/25/2025,ARKW,3IQ SOLANA STAKING ETF,SOLQ/U,BTRDQ40,"495,432","$5,469,569.28",0.26%
11/25/2025,ARKW,BRERA HOLDINGS PLC-CL B,SLMT,G13311116,"1,400,327","$2,968,693.24",0.14%
11/25/2025,ARKW,BRERA HOLDINGS PLC WTS,,BREADUMMY,"1,395,691","$2,330,803.97",0.11%
