date,fund,company,ticker,cusip,shares,market value ($),weight (%)
11/25/2025,ARKX,KRATOS DEFENSE & SECURITY,KTOS,50077B207,"481,291","$35,668,476.01",8.23%
11/25/2025,ARKX,L3HARRIS TECHNOLOGIES INC,LHX,502431109,"125,092","$34,450,336.80",7.95%
11/25/2025,ARKX,TERADYNE INC,TER,880770102,"203,243","$33,732,240.71",7.79%
11/25/2025,ARKX,AEROVIRONMENT INC,AVAV,008073108,"110,004","$30,470,007.96",7.03%
11/25/2025,ARKX,ROCKET LAB,RKLB UQ,773121108,"714,146","$30,315,497.70",7.00%
11/25/2025,ARKX,DEERE & CO,DE,244199105,"42,655","$20,782,795.65",4.80%
11/25/2025,ARKX,ARCHER AVIATION INC-A,ACHR,03945R102,"2,750,197","$20,461,465.68",4.72%
11/25/2025,ARKX,PALANTIR TECHNOLOGIES INC-A,PLTR,69608A108,"125,257","$20,322,948.25",4.69%
11/25/2025,ARKX,ADVANCED MICRO DEVICES,AMD,007903107,"91,128","$19,597,076.40",4.52%
11/25/2025,ARKX,TRIMBLE INC,TRMB,896239100,"247,262","$19,547,297.41",4.51%
11/25/2025,ARKX,IRIDIUM COMMUNICATIONS INC,IRDM,46269C102,"1,051,103","$17,154,000.96",3.96%
11/25/2025,ARKX,AMAZON.COM INC,AMZN,023135106,"68,715","$15,548,830.20",3.59%
11/25/2025,ARKX,JOBY AVIATION INC,JOBY,G65163100,"867,126","$12,044,380.14",2.78%
11/25/2025,ARKX,NVIDIA CORP,NVDA,67066G104,"63,634","$11,616,386.70",2.68%
11/25/2025,ARKX,ALPHABET INC-CL C,GOOG,02079K107,"35,027","$11,155,048.69",2.58%
11/25/2025,ARKX,KOMATSU LTD,6301,6496584,"297,975","$9,612,341.94",2.22%
11/25/2025,ARKX,THALES SA,HO,4162791,"37,219","$9,585,341.02",2.21%
11/25/2025,ARKX,BWX TECHNOLOGIES INC,BWXT,05605H100,"44,801","$7,823,150.62",1.81%
11/25/2025,ARKX,STRATA CRITICAL MEDICAL INC,SRTA,092667104,"1,739,413","$7,409,899.38",1.71%
11/25/2025,ARKX,ELBIT SYSTEMS LTD,ESLT,M3760D101,"12,345","$5,839,185.00",1.35%
11/25/2025,ARKX,GARMIN LTD,GRMN UN,B3Z5T14,"29,845","$5,742,178.00",1.33%
11/25/2025,ARKX,TELEDYNE TECHNOLOGIES INC,TDY,879360105,"10,920","$5,376,462.00",1.24%
11/25/2025,ARKX,HEICO CORP,HEI,422806109,"16,861","$5,159,128.78",1.19%
11/25/2025,ARKX,SYNOPSYS INC,SNPS,871607107,"11,787","$4,769,373.81",1.10%
11/25/2025,ARKX,AIRBUS SE,AIR,4012250,"20,555","$4,738,287.16",1.09%
11/25/2025,ARKX,DASSAULT SYSTEMES SE,DSY FP,BM8H5Y5,"171,153","$4,687,907.55",1.08%
11/25/2025,ARKX,HONEYWELL INTERNATIONAL INC,HON,438516106,"24,899","$4,697,445.34",1.08%
11/25/2025,ARKX,TAIWAN SEMICONDUCTOR-SP ADR,TSM,874039100,"16,108","$4,584,981.12",1.06%
11/25/2025,ARKX,INTUITIVE MACHINES INC,LUNR,46125A100,"509,992","$4,589,928.00",1.06%
11/25/2025,ARKX,JD LOGISTICS INC,2618,BNMBPD9,"2,950,725","$4,531,555.18",1.05%
11/25/2025,ARKX,DOORDASH INC - A,DASH,25809K105,"23,711","$4,459,564.88",1.03%
11/25/2025,ARKX,THE 3D PRINTING ETF,PRNT,00214Q500,"136,396","$2,948,199.54",0.68%
11/25/2025,ARKX,LOCKHEED MARTIN CORP,LMT,539830109,"5,562","$2,508,795.72",0.58%
11/25/2025,ARKX,GOLDMAN FS TRSY OBLIG INST 468,,X9USDGSFT,"1,225,428","$1,225,427.52",0.28%
"Investors should carefully consider the investment objectives and risks as well as charges and expenses of an ARK ETF before investing. This and other information are contained in the ARK ETFs' prospectuses, which may be obtained on ark-funds.com. The prospectus should be read carefully before investing. An investment in an ARK ETF is subject to risks and you can lose money on your investment in an ARK ETF. There can be no assurance that the ARK ETFs will achieve their investment objectives. The ARK ETFs’ portfolios are more volatile than broad market averages. The ARK ETFs also have specific risks, which are described in the ARK ETFs' prospectuses.Shares of the ARK ETFs may be bought or sold throughout the day at their market price on the exchange on which they are listed. The market price of an ARK ETF's shares may be at, above or below the ARK ETF’s net asset value (""NAV"") and will fluctuate with changes in the NAV as well as supply and demand in the market for the shares. The market price of ARK ETF shares may differ significantly from their NAV during periods of market volatility. Shares of the ARK ETFs may only be redeemed directly with the ARK ETFs at NAV by Authorized Participants, in very large creation units. There can be no guarantee that an active trading market for ARK ETF shares will develop or be maintained, or that their listing will continue or remain unchanged. Buying or selling ARK ETF shares on an exchange may require the payment of brokerage commissions and frequent trading may incur brokerage costs that detract significantly from investment returns. Not FDIC Insured – No Bank Guarantee – May Lose ValueAll statements made regarding companies, securities or other financial information are strictly beliefs and points of view held by ARK Investment Management LLC and/or ARK ETF Trust and are not endorsements by ARK of any company or security or recommendations by ARK to buy, sell or hold any security. Holdings are subject to change without notice.Foreside Fund Services, LLC, distributor.© 2025. ARK ETF Trust. No part of this material may be reproduced in any form, or referred to in any other publication, without written permission."
